"","ind_year","","","ind_level","","","hh_year","","","hh_level","",""
"","count","mean","sd","count","mean","sd","count","mean","sd","count","mean","sd"
"Violence in a given year (yes=1)","34830","0.08","0.27","","","","8720","0.08","0.27","","",""
"Number of causalties in a given year","34830","0.00","0.04","","","","8720","0.00","0.04","","",""
"Fraction of years when individual left the household","34830","0.04","0.21","","","","","","","","",""
"Fraction of individuals that ever left the household","","","","3480","0.14","0.35","","","","","",""
"At least 1 person left the household in a given year (yes=1)","","","","","","","8720","0.10","0.30","","",""
"Average number of people leaving the household in a given year","","","","","","","8720","0.18","0.72","","",""
"Loss of land (yes=1) for a household in a given year","","","","","","","8720","0.01","0.12","872","0.00","0.00"
"Theft of crops (yes=1) for a household in a given year","","","","","","","8720","0.07","0.25","872","0.00","0.00"
"Theft of money (yes=1) for a household in a given year","","","","","","","8720","0.03","0.17","872","0.00","0.00"
"Theft or destruction of goods (yes=1) for a household in a given year","","","","","","","8720","0.03","0.18","872","0.00","0.00"
"Destruction of house (yes=1) for a household in a given year","","","","","","","8720","0.01","0.12","872","0.00","0.00"
"Time in prison (yes=1) for a household in 1998–2007","","","","","","","8720","0.00","0.05","872","0.00","0.00"
"Joining armed group (yes=1) for a household in 1998–2007","","","","","","","8720","0.00","0.02","872","0.00","0.00"
"Victim of ambush (yes=1) for a household in 1998–2007","","","","","","","8720","0.00","0.04","872","0.00","0.00"
"Captured or kidnapped (yes=1) for a household in 1998–2007","","","","","","","8720","0.00","0.04","872","0.00","0.05"
"Forced unpaid labor (yes=1) for a household in 1998–2007","","","","","","","8720","0.00","0.07","872","0.00","0.00"
"Beaten or tortured (yes=1) for a household in 1998–2007","","","","","","","8720","0.00","0.07","872","0.00","0.00"
"Forced contributions paid (yes=1) for a household in 1998–2007","","","","","","","8720","0.01","0.09","872","0.00","0.00"
"Excessive rainfall (yes=1) for a household in 1998–2007","","","","","","","8720","0.16","0.37","872","0.00","0.00"
"Drought or lack of rain (yes=1) for a household in 1998–2007","","","","","","","8720","0.15","0.36","872","0.00","0.00"
"Crop disease (yes=1) for a household in 1998–2007","","","","","","","8720","0.19","0.39","872","0.00","0.00"
"Bad harvest (yes=1) for a household in 1998–2007","","","","","","","8720","0.09","0.32","872","0.00","0.00"
"House destruction by rain (yes=1) for a household in 1998–2007","","","","","","","8720","0.04","0.22","872","0.00","0.00"
"Severe landslide or erosion (yes=1) for a household in 1998–2007","","","","","","","8720","0.06","0.25","872","0.00","0.00"
"No access to inputs (yes=1) for a household in 1998–2007","","","","","","","8720","1.62","0.78","872","0.00","0.00"
"Increase in input prices (yes=1) for a household in 1998–2007","","","","","","","8720","1.61","0.78","872","0.00","0.00"
"Lack of market access (yes=1) for a household in 1998–2007","","","","","","","8720","1.73","0.73","872","0.00","0.00"
"Decrease in crop prices (yes=1) for a household in 1998–2007","","","","","","","8720","1.72","0.73","872","0.00","0.00"
"Sale of land (yes=1) for a household in 1998–2007","","","","","","","8720","1.73","0.73","872","0.00","0.00"
"Sale of house (yes=1) for a household in 1998–2007","","","","","","","8720","1.75","0.72","872","0.00","0.00"
"Humanitarian aid received (yes=1) for a household in 1998–2007","","","","","","","8720","1.67","0.75","872","0.00","0.00"
"Conflict-caused loss of land/crops","","","","","","","8720","0.03","0.12","872","0.00","0.00"
"Conflict-caused loss of assets","","","","","","","8720","0.02","0.11","872","0.00","0.00"
"Economic shocks (input prices, market access)","","","","","","","8720","0.18","0.08","872","0.00","0.00"
"Coping strategies (asset/land sales, external help)","","","","","","","8720","0.19","0.08","872","0.00","0.00"
"Extreme rain/drought shocks","","","","","","","8720","0.16","0.27","872","0.00","0.00"
"Bad harvest/soil erosion shocks","","","","","","","8720","0.87","0.04","872","0.87","0.00"
"Extreme rain/drought/bad harvest/soil erosion shocks","","","","","","","8720","0.12","0.22","872","0.01","0.00"
"Conflict-caused losses of land/crops and assets","","","","","","","8720","0.03","0.10","872","0.00","0.00"
"Violence in a given year (yes=1)","","","","","","","","","","872","0.28","0.45"
"Number of causalties in a given year","","","","","","","","","","872","0.02","0.05"
"Number of member of household that migrated outside household ","","","","","","","","","","872","1.79","5.32"
"Fraction of individuals that ever left the household","","","","","","","","","","872","0.28","0.45"
